P010129447701	2019.05.07-11:08
P010129453901	2019.05.07-11:14
P010129449801	2019.05.07-11:20
P010129459601	2019.05.07-11:22
P010129461601	2019.05.07-11:32
P010129443901	2019.05.07-11:32
P010129446201	2019.05.07-11:36
P010129457801	2019.05.07-11:36
P010129447801	2019.05.07-11:49
P010129455801	2019.05.07-11:50
P010129454001	2019.05.07-11:52
P010129459701	2019.05.07-12:12
P010129449901	2019.05.07-12:23
P010129457901	2019.05.07-12:54
P010129461701	2019.05.07-13:05
P010129454101	2019.05.07-13:11
P010129447901	2019.05.07-13:11
P010129455901	2019.05.07-13:18
P010129459801	2019.05.07-13:23
P010129450001	2019.05.07-13:26
P010129444101	2019.05.07-13:36
P010129454201	2019.05.07-13:45
P010129461801	2019.05.07-13:52
P010129448001	2019.05.07-13:53
P010129456001	2019.05.07-14:00
P010129450101	2019.05.07-14:06
P010129459901	2019.05.07-14:07
P010129458101	2019.05.07-14:09
P010129465201	2019.05.07-14:09
P010129452401	2019.05.07-14:10
P010129454301	2019.05.07-14:22
P010129461901	2019.05.07-14:41
P010129448101	2019.05.07-14:56
P010129456101	2019.05.07-15:08
P010129465301	2019.05.07-15:12
P010129458201	2019.05.07-15:15
P010129450201	2019.05.07-15:18
P010129452501	2019.05.07-15:21
P010129454401	2019.05.07-15:25
P010129462001	2019.05.07-15:36
P010129448201	2019.05.07-16:08
P010129456201	2019.05.07-16:38
P010129450301	2019.05.07-17:00
P010129467301	2019.05.07-17:06
P010129458301	2019.05.07-17:08
P010129454501	2019.05.07-17:15
P010129465501	2019.05.07-17:16
P010129462101	2019.05.07-17:27
P010129448301	2019.05.07-17:28
P010129456301	2019.05.07-17:35
P010129463501	2019.05.07-17:48
P010129450401	2019.05.07-18:04
P010129454601	2019.05.07-18:27
P010129463601	2019.05.07-18:59
P010129458401	2019.05.07-19:02
P010129462201	2019.05.07-19:04
P010129465601	2019.05.07-19:04
P010129460301	2019.05.07-19:09
P010129473601	2019.05.07-19:13
P010129467501	2019.05.07-19:21
P010129463701	2019.05.07-19:50
P010129456501	2019.05.07-20:15
P010129471601	2019.05.07-20:18
P010129469501	2019.05.07-20:26
P010129462301	2019.05.07-20:28
P010129458501	2019.05.07-20:30
P010129473701	2019.05.07-20:32
P010129460401	2019.05.07-20:32
P010129463801	2019.05.07-20:37
P010129467601	2019.05.07-20:41
P010129465701	2019.05.07-20:42
P010129456601	2019.05.07-21:09
P010129471701	2019.05.07-21:36
P010129462401	2019.05.07-21:45
P010129473801	2019.05.07-21:55
P010129463901	2019.05.07-21:58
P010129469601	2019.05.07-22:00
P010129458601	2019.05.07-22:02
P010129460501	2019.05.07-22:05
P010129465801	2019.05.07-22:12
P010129467701	2019.05.07-22:14
P010129456701	2019.05.07-22:21
P010129471801	2019.05.07-22:31
P010129473901	2019.05.07-22:33
P010129464001	2019.05.07-22:42
P010129469701	2019.05.07-22:46
P010129458701	2019.05.07-22:50
P010129460601	2019.05.07-22:58
P010129465901	2019.05.07-23:07
P010129467801	2019.05.07-23:22
P010129474001	2019.05.07-23:22
P010129471901	2019.05.07-23:54
P010129469801	2019.05.08-00:26
P010129464101	2019.05.08-00:30
P010129474101	2019.05.08-00:40
P010129458801	2019.05.08-00:43
P010129466001	2019.05.08-00:47
P010129460701	2019.05.08-00:51
P010129474201	2019.05.08-00:56
P010129467901	2019.05.08-01:00
P010129472001	2019.05.08-01:02
P010129469901	2019.05.08-01:10
P010129464201	2019.05.08-01:25
P010129475901	2019.05.08-02:00
P010129466101	2019.05.08-02:08
P010129474301	2019.05.08-02:14
P010129472101	2019.05.08-02:44
P010129468001	2019.05.08-02:48
P010129464301	2019.05.08-02:48
P010129476001	2019.05.08-03:21
P010129466201	2019.05.08-03:36
P010129460901	2019.05.08-03:59
P010129474401	2019.05.08-04:06
P010129472201	2019.05.08-04:15
P010129468101	2019.05.08-04:23
P010129476101	2019.05.08-04:24
P010129466301	2019.05.08-04:26
P010129464501	2019.05.08-04:55
P010129478101	2019.05.08-05:13
P010129468201	2019.05.08-05:17
P010129476201	2019.05.08-05:22
P010129464601	2019.05.08-05:55
P010129466501	2019.05.08-06:03
P010129468301	2019.05.08-06:14
P010129478201	2019.05.08-06:15
P010129476301	2019.05.08-06:16
P010129464701	2019.05.08-06:21
P010129466601	2019.05.08-07:15
P010129470401	2019.05.08-07:25
P010129464801	2019.05.08-07:36
P010129476401	2019.05.08-07:37
P010129478301	2019.05.08-07:38
P010129482201	2019.05.08-07:40
P010129468501	2019.05.08-07:48
P010129464901	2019.05.08-08:45
P010129470501	2019.05.08-08:50
P010129466701	2019.05.08-08:54
P010129478401	2019.05.08-09:00
P010129476501	2019.05.08-09:03
P010129468601	2019.05.08-09:12
P010129465001	2019.05.08-09:16
P010129474901	2019.05.08-09:21
P010129470601	2019.05.08-09:34
P010129478501	2019.05.08-09:34
P010129466801	2019.05.08-09:35
P010129476601	2019.05.08-09:49
P010129465101	2019.05.08-09:53
P010129475001	2019.05.08-10:14
P010129468701	2019.05.08-10:14
P010129478601	2019.05.08-10:47
P010129470701	2019.05.08-11:01
P010129466901	2019.05.08-11:04
P010129475101	2019.05.08-11:15
P010129468801	2019.05.08-11:26
P010129478701	2019.05.08-11:52
P010129476801	2019.05.08-12:02
P010129480701	2019.05.08-12:13
P010129467001	2019.05.08-12:13
P010129475201	2019.05.08-12:18
P010129470801	2019.05.08-12:20
P010129468901	2019.05.08-12:26
P010129476901	2019.05.08-12:34
P010129473401	2019.05.08-13:20
P010129467101	2019.05.08-13:20
P010129475301	2019.05.08-13:40
P010129480801	2019.05.08-13:42
P010129477001	2019.05.08-13:49
P010129473501	2019.05.08-13:53
P010129469001	2019.05.08-13:53
P010129467201	2019.05.08-14:02
P010129479001	2019.05.08-14:27
